r_kpc,v_km_s,sigma_km_s,r_m,v_m_s,sigma_m_s
8.0,200.0,0.5,2.4685420648e+20,200000.0,500.0
13.156666666666666,200.0,6.0,4.059723137402333e+20,200000.0,6000.0
0.094,201.765,2.5,2.9005369261399997e+18,201765.0,2500.0
0.122,218.694,4.0,3.76452664882e+18,218694.0,4000.0
0.141,232.647,3.0,4.3508053892099994e+18,232647.0,3000.0
0.226,245.43500000000003,3.0,6.97363133306e+18,245435.00000000003,3000.0
0.245,254.888,1.9999999999999856,7.559910073449999e+18,254888.0,1999.9999999999857
0.264,256.341,2.5,8.14618881384e+18,256341.0,2500.0
0.311,248.224,3.0,9.59645727691e+18,248224.0,3000.0
0.376,250.059,3.0,1.1602147704559999e+19,250059.0,3000.0
0.414,251.565,2.5,1.2774705185339998e+19,251565.0,2500.0
0.4709999999999999,250.824,2.5,1.4533541406509996e+19,250824.0,2500.0
0.518,248.006,4.0,1.598380986958e+19,248006.0,4000.0
0.546,243.635,2.0,1.684779959226e+19,243635.0,2000.0
0.565,239.588,2.0,1.7434078332649998e+19,239588.0,2000.0
0.659,229.353,2.0,2.033461525879e+19,229353.0,2000.0
0.6960000000000001,229.259,4.0,2.147631596376e+19,229259.0,4000.0
0.894,222.465,3.0,2.758595757414e+19,222465.0,3000.0
0.941,220.647,4.0,2.9036226037209997e+19,220647.0,4000.0
0.988,217.029,4.0,3.048649450028e+19,217029.0,4000.0
1.035,215.412,2.0,3.1936762963349996e+19,215412.0,2000.0
1.064,212.641,2.0,3.283160946184e+19,212641.0,2000.0
1.082,215.294,3.0,3.3387031426420003e+19,215294.0,3000.0
1.129,216.776,3.0,3.4837299889489998e+19,216776.0,3000.0
1.176,217.559,4.0,3.6287568352559997e+19,217559.0,4000.0
1.205,216.288,3.0,3.7182414851050004e+19,216288.0,3000.0
1.224,212.441,2.0,3.776869359144e+19,212441.0,2000.0
1.318,197.706,3.0,4.066923051758e+19,197706.0,3000.0
1.327,214.282,3.0,4.0946941499869995e+19,214282.0,3000.0
1.365,208.588,2.0,4.211949898065e+19,208588.0,2000.0
1.4590000000000003,197.553,9.0,4.502003590679001e+19,197553.0,9000.0
1.506,207.835,2.5,4.647030436986e+19,207835.0,2500.0
1.5249999999999997,209.188,3.0,4.705658311024999e+19,209188.0,3000.0
1.553,205.318,3.0,4.792057283293e+19,205318.0,3000.0
1.6000000000000003,201.80000000000004,3.0,4.937084129600001e+19,201800.00000000003,3000.0
1.619,195.153,3.0,4.9957120036389994e+19,195153.0,3000.0
1.647,198.082,7.0,5.0821109759069995e+19,198082.0,7000.0
1.694,200.365,3.0,5.227137822214e+19,200365.0,3000.0
1.807,201.982,3.0,5.575819388867e+19,201982.0,3000.0
