r_kpc,v_km_s,sigma_km_s,r_m,v_m_s,sigma_m_s
1.60798,5.5784,68.29217235573927,4.961707836696379e+19,5578.400000000001,68292.17235573927
3.6174,10.509799999999998,76.67689541832011,1.1162130081509399e+20,10509.8,76676.89541832011
5.627000000000001,6.000400000000001,98.26276027154948,1.7363107748287e+20,6000.400000000001,98262.76027154949
7.637,15.116,105.55335503336688,2.3565319686096998e+20,15116.0,105553.35503336688
9.647,23.652,101.09916750696812,2.9767531623907e+20,23652.0,101099.16750696811
11.656000000000002,29.196,96.66354079846238,3.596665788413601e+20,29196.0,96663.54079846237
13.666,36.236,90.4860134359449,4.2168869821946e+20,36236.0,90486.0134359449
15.675999999999998,37.814,84.62924514457163,4.837108175975599e+20,37814.0,84629.24514457163
17.686,38.11,79.28128087021551,5.4573293697565996e+20,38110.0,79281.28087021552
19.696,41.734,74.523684600186,6.0775505635376e+20,41734.0,74523.684600186
21.704,44.578,70.36046170129926,6.6971546218024e+20,44578.0,70360.46170129925
23.714,43.834,66.74428007365125,7.3173758155834e+20,43834.0,66744.28007365126
25.724,48.15,63.57898575872377,7.9375970093644e+20,48150.0,63578.98575872377
27.734,51.034,60.82309669311486,8.5578182031454e+20,51034.0,60823.096693114865
29.744,51.06,58.400639566275295,9.1780393969264e+20,51060.0,58400.6395662753
31.754,50.602,56.26043317410559,9.7982605907074e+20,50602.0,56260.433174105594
33.764,50.792,54.35932558904682,1.04184817844884e+21,50792.0,54359.32558904682
35.772000000000006,52.228,52.6514408702364,1.1038085842753201e+21,52228.0,52651.4408702364
37.38,52.99666666666667,51.399238350582586,1.1534262797778e+21,52996.66666666667,51399.238350582586
